QSO z_abs EW_r EW_r_e logN logN_l logN_u
J024854+180250 4.130158 0.09 0.013 13.393 0.022 0.054
J024854+180250 3.6428872 0.198 0.011 13.797 0.023 0.037
J024854+180250 3.3185765 0.113 0.005 13.53 0.035 0.042
J024854+180250 3.7039084 0.074 0.008 13.283 0.021 0.045
J024854+180250 3.5062428 0.054 0.004 13.158 0.033 0.05
J024854+180250 3.3301918 0.029 0.003 12.873 0.027 0.048
J025127+341442 2.1674859 0.147 0.006 13.739 0.042 0.065
J025127+341442 2.0607131 0.105 0.009 13.628 0.052 0.107
J025127+341442 2.0431131 0.276 0.013 14.077 0.022 0.043
J025127+341442 1.9814296 0.062 0.007 13.267 0.056 0.105
J025140-220026 2.9304619 0.039 0.004 13.01 0.035 0.062
J025140-220026 2.8331854 0.154 0.008 13.636 0.026 0.036
J025140-220026 2.8531178 0.04 0.003 13.034 0.045 0.068
J025140-220026 2.7048103 0.029 0.003 12.883 0.038 0.069
J025140-220026 2.8932019 0.086 0.005 13.379 0.034 0.048
J025140-220026 2.5498013 0.075 0.006 13.299 0.028 0.044
J025140-220026 2.4820666 0.096 0.004 13.491 0.051 0.06
J025140-220026 2.7759818 0.203 0.014 13.807 0.033 0.044
J025140-220026 2.8620645 0.073 0.004 13.317 0.039 0.054
J025515+014828 1.7539696 0.252 0.01 13.941 0.031 0.048
J025515+014828 1.9669448 0.071 0.008 13.361 0.037 0.094
J025515+014828 2.3405111 0.127 0.013 13.693 0.0 1.0
J025515+014828 1.8663913 0.189 0.011 13.873 0.0 1.0
J025515+014828 1.8198124 0.07 0.01 13.327 0.038 0.09
J025518+004847 3.7728147 0.144 0.011 13.644 0.03 0.048
J025518+004847 3.8132484 0.124 0.01 13.562 0.032 0.048
J025518+004847 3.254062 0.734 0.019 14.435 0.018 0.025
J025518+004847 2.9715635 0.075 0.003 13.349 0.042 0.053
J025644+001246 1.6076989 0.939 0.021 14.58 0.0 1.0
J025644+001246 1.941928 0.204 0.01 13.908 0.023 0.064
J030046+022245 1.9182275 1.634 0.031 14.879 0.0 1.0
J030049-072137 1.7164274 0.259 0.008 14.152 0.0 1.0
J030049-072137 1.5356602 1.549 0.013 14.959 0.008 0.016
J030341-002321 2.4431817 0.165 0.009 13.672 0.019 0.027
J030341-002321 3.1063454 0.097 0.005 13.49 0.033 0.047
J030341-002321 2.9563765 0.142 0.01 13.66 0.025 0.038
J030341-002321 3.0185622 0.087 0.012 13.364 0.021 0.043
J030341-002321 2.9406517 0.384 0.011 14.177 0.02 0.029
J030341-002321 2.9948138 0.104 0.007 13.492 0.024 0.04
J030341-002321 2.4289416 0.237 0.008 13.932 0.026 0.032
J030341-002321 2.7243248 1.415 0.013 14.946 0.0 1.0
J030449-000813 2.7867804 0.281 0.01 13.917 0.022 0.026
J030449-000813 2.9588541 0.032 0.003 12.909 0.032 0.053
J030449-000813 3.2198996 0.064 0.005 13.229 0.035 0.055
J030449-000813 2.3823119 0.052 0.001 13.193 0.06 0.065
J030449-000813 2.8261439 0.024 0.003 12.787 0.037 0.062
J030449-000813 3.0030921 0.115 0.007 13.49 0.023 0.035
J030449-000813 2.9174772 0.069 0.003 13.279 0.036 0.046
J030449-000813 2.5900938 0.168 0.005 13.802 0.041 0.051
J030449-000813 2.5355171 0.1 0.005 13.462 0.038 0.047
J030640-301031 2.0145016 1.039 0.012 14.811 0.0 1.0
J030643-301107 1.4827499 0.278 0.018 14.018 0.0 1.0
J031003-004645 2.0542032 0.225 0.006 14.112 0.0 1.0
J031003-004645 1.698152 0.471 0.01 14.375 0.015 0.03
J031003-004645 2.0804592 0.212 0.012 13.883 0.037 0.063
J031003-004645 1.7789163 0.083 0.006 13.421 0.041 0.078
J031856-060037 1.5912068 1.155 0.017 14.743 0.0 1.0
J033108-252443 2.5867851 0.013 0.002 12.502 0.049 0.074
J033108-252443 2.3284445 0.109 0.003 13.492 0.037 0.042
J033108-252443 2.2040356 0.08 0.003 13.326 0.028 0.035
